Prefecture;GDP;FD;Openness;FDI;Urbanization;EP_EXP;RD_EXP;RD_EMP;HM_MR;EN_DF;SO2;EN_IN;INS_CAP;RE_S;NF_S
Hokkaido;0.58;0.58;0.13;9.58;82.5;0.046;0.02;0.009;-0.69;107.7;0.0007929;1.439;30566959.00;7.8;23.9
Aomori;0.56;0.64;0.14;7.88;78;0.065;0.031;0.025;-0.72;63.5;0.0002743;1.897;5371842.00;36.1;44.8
Iwate;0.59;0.57;0.12;14.65;82.59;0.058;0.101;0.118;-0.36;41.5;0.0002136;1.823;3592661.00;26.1;59.6
Miyagi;0.61;0.83;0.15;8.76;84.94;0.054;0.06;0.057;-0.34;95.5;0.0000542;1.502;13606528.00;5.6;7.7
Akita;0.57;0.61;0.1;10.73;90.79;0.065;0.105;0.13;-0.37;216.3;0.0007746;2.028;15492100.00;10.2;18.3
Yamagata;0.6;0.59;0.1;8.46;80.47;0.222;0.135;0.096;-0.11;74.3;0.0003152;1.876;5966848.00;3.1;30.5
Fukushima;0.63;0.51;0.09;16.61;82.43;0.131;0.093;0.073;-0.2;365.3;0.0010894;1.911;54659644.00;2.9;13.8
Ibaraki;0.68;0.45;0.07;4.61;90.97;0.05;0.044;0.063;-0.02;143.9;0.0003968;1.729;34253472.00;3.7;3.9
Tochigi;0.67;0.58;0.08;5.03;87.9;0.042;0.054;0.073;-0.04;69.7;0.0000707;1.773;11051672.00;5.9;20.1
Gunma;0.65;0.53;0.11;4.32;85.45;0.048;0.049;0.061;-0.02;29.8;0.0000585;1.796;4635341.00;8.9;96.5
Saitama;0.49;0.75;0.12;3.38;93.35;0.063;0.121;0.019;-0.41;2.5;0.0000244;1.634;951388.00;7;34.1
Chiba;0.52;0.79;0.09;3.24;96.87;0.039;0.121;0.048;-0.52;236.5;0.0001769;1.682;82656769.00;0.9;0.9
Tokyo;0.89;2.25;0.21;2.45;99.43;0.05;0.007;0.004;0.09;7.6;0.0000023;0.695;5821699.00;0.1;3.5
Kanagawa;0.56;0.63;0.08;3.32;96.87;0.07;0.032;0.02;-0.18;172.7;0.0000195;1.372;80351656.00;0.1;0.8
Niigata;0.6;0.58;0.11;7.58;96.64;0.029;0.046;0.051;-0.24;260;0.0001379;1.828;42089102.00;0.4;17.2
Fukuyama;0.66;0.73;0.1;5.74;92.06;0.047;0.106;0.076;-0.06;143;0.0002889;2.211;14954018.00;0.2;58.1
Ishikawa;0.6;0.73;0.11;8.22;87.59;0.069;0.088;0.062;-0.18;101.7;0.0003026;2.021;9305760.00;3.5;21.1
Fukui;0.67;0.57;0.08;13.39;87.88;0.052;0.134;0.079;-0.15;333.6;0.0003943;2.095;24959726.00;0.3;68.4
Yamanashi;0.64;0.4;0.08;6.85;85.32;0.066;0.115;0.153;-0.02;48.4;0.0000331;1.662;2855656.00;3.5;100
Nagano;0.6;0.46;0.09;7.36;80.3;0.143;0.046;0.054;-0.05;52.3;0.0000646;1.779;7636957.00;2.4;98.8
Gifu;0.59;0.45;0.1;6.4;84.88;0.059;0.055;0.052;-0.2;55.2;0.0001198;1.946;8237682.00;1.5;99.5
Shizuoka;0.67;0.59;0.09;3.86;93.88;0.028;0.047;0.045;0.09;27;0.0000319;1.64;7563522.00;10.3;80
Aichi;0.72;0.65;0.11;3.03;94.65;0.028;0.09;0.025;0.17;119.6;0.0000913;1.422;67479357.00;0.8;2.5
Mie;0.67;0.49;0.07;4.43;87.67;0.041;0.039;0.055;0.09;115.7;0.0001354;2.361;22600326.00;5.5;8.3
Shiga;0.68;0.58;0.06;3.92;94.74;0.042;0.07;0.11;0.16;1.2;0.0000265;1.854;154901.00;29.6;95.4
Kyoto;0.6;0.68;0.09;3.81;95.13;0.051;0.081;0.023;-0.28;73.8;0.0001107;1.497;11236131.00;0.6;6.6
Osaka;0.65;1.13;0.15;2.6;98.02;0.044;0.008;0.001;-0.21;50.4;0.0000091;1.349;27011723.00;0.6;0.6
Hyogo;0.6;0.55;0.09;4.5;95.49;0.023;0.086;0.035;-0.13;131;0.0001581;1.681;47870623.00;1.3;3.9
Nara;0.44;0.74;0.09;6.66;79.36;0.069;0.109;0.116;-0.57;18.1;0.000013;1.804;1200368.00;10.3;100
Wakayama;0.59;0.52;0.09;8.76;78.67;0.032;0.08;0.094;-0.18;44.3;0.0005622;1.616;2593120.00;17.9;38.8
Tottori;0.52;0.84;0.1;10.29;74.99;0.123;0.115;0.208;-0.6;49.9;0.0001837;1.929;1753196.00;11.1;64.3
Shimane;0.58;0.55;0.11;11.3;90.13;0.064;0.148;0.271;-0.34;162.4;0.0001122;1.939;8111618.00;3.5;10
Okayama;0.61;0.83;0.09;5.11;94.2;0.05;0.045;0.033;-0.22;43.3;0.0002731;2.04;6725713.00;16.4;27.3
Hiroshima;0.62;0.99;0.15;4.94;93.92;0.062;0.041;0.028;-0.11;63.3;0.0004982;1.677;12266188.00;1.7;13.7
Yamaguchi;0.66;0.62;0.07;4.87;96.08;0.05;0.055;0.081;0.07;209.6;0.0007582;1.829;23563371.00;2.4;3.9
Tokushima;0.65;0.73;0.09;7.85;74.74;0.141;0.078;0.136;0.04;353.8;0.0001666;1.848;20829402.00;0.6;5.5
Kagawa;0.59;0.85;0.13;5.2;84.59;0.057;0.072;0.085;-0.38;60.2;0.0003691;1.938;4358786.00;2.4;2.4
Ehime;0.56;1.46;0.1;6.07;90.96;0.048;0.064;0.07;-0.36;122.4;0.0006506;1.754;10363006.00;4;10.5
Kochi;0.53;0.71;0.11;13.18;82.48;0.093;0.119;0.164;-0.74;110.2;0.0002751;1.701;4412071.00;6.5;59.9
Fukuoka;0.57;1.17;0.13;4.87;88.3;0.049;0.059;0.04;-0.38;36.1;0.0001471;1.581;10783836.00;5.3;5.8
Saga;0.57;0.48;0.11;9.13;82.87;0.083;0.151;0.2;-0.28;255.9;0.0002045;2.118;16507935.00;0.8;98.8
Nagasaki;0.54;0.66;0.1;9.12;89.39;0.057;0.064;0.099;-0.27;365.5;0.0008978;1.652;27400667.00;1.3;1.3
Kumamoto;0.55;0.81;0.1;9.03;80.96;0.043;0.115;0.091;-0.28;89.7;0.0000458;1.813;9930121.00;4.1;11.7
Oita;0.6;0.6;0.09;7.07;95.34;0.063;0.079;0.099;-0.26;243.9;0.0013004;1.864;20266955.00;6.6;10.3
Miyazaki;0.53;0.77;0.11;8.2;83.92;0.05;0.1;0.149;-0.43;68.8;0.0007753;1.893;4690132.00;10.3;82.5
Kagoshima;0.55;0.74;0.12;8.29;89.03;0.05;0.103;0.114;-0.6;94.9;0.0005127;1.725;9184520.00;16.2;88.1
Okinawa;0.46;1.03;0.09;9.85;77.36;0.095;0.096;0.103;-0.87;97.8;0.0008096;1.809;7537124.00;0.7;0.7
